Location,overall,spring,summer
B2,2,1,1
B3,2,2,0
B4,3,2,1
B5,6,6,0
B6,2,2,1
B8,2,1,1
B9,7,6,1
O3,4,3,1
O4,2,2,1
O5,3,2,1
O6,2,1,1
O7,1,0,1
P1,12,11,1
P2,10,9,2
P3,5,5,1
P5,12,11,2
P6,5,4,1
P7,8,6,4
P8,13,12,1
