Location,Treecover,Shrubcover,Totalcover,ImageCover
B2,87.5,17.5,105,89
B3,90,15,105,90
B4,95,12.5,107.5,88
B5,95,5,100,93
B6,87.5,30,117.5,90.5
B8,95,10,105,89.5
B9,80,15,95,89
O3,70,27.5,97.5,91
O4,85,27.5,112.5,91
O5,65,70,135,92.5
O6,85,22.5,107.5,91
O7,67.5,10,77.5,82.5
P1,37.5,95,132.5,93.5
P2,70,47.5,117.5,91
P3,67.5,50,117.5,87
P5,75,15,90,90
P6,52.5,55,107.5,90
P7,65,30,95,88.5
P8,55,60,115,90
